name,country,cloudliness,date,humidity,maximum temp,latitude,longitude,windspeed
Sabha,LY,0,1546888226,49,44.56,27.03,14.43,6.71
Ushuaia,AR,75,1546884000,43,57.2,-54.81,-68.31,6.93
Punta Arenas,CL,0,1546884000,40,55.4,-53.16,-70.91,14.99
Hobart,AU,75,1546885800,87,57.2,-42.88,147.33,3.36
Upernavik,GL,68,1546888228,100,14.32,72.79,-56.15,5.48
Ambovombe,MG,92,1546888229,97,75.2,-25.18,46.09,5.14
Arraial do Cabo,BR,0,1546884000,52,93.2,-22.97,-42.02,16.11
Misratah,LY,88,1546888230,100,54.73,32.38,15.09,3.91
Kapaa,US,1,1546883760,83,66.92,22.08,-159.32,6.93
Hilo,US,90,1546883580,60,64.94,19.71,-155.08,8.05
Ritchie,ZA,0,1546884000,53,77.0,-29.03,24.6,17.22
Petropavlovsk-Kamchatskiy,RU,0,1546884000,45,24.8,53.05,158.65,22.37
Vaini,IN,0,1546886757,70,64.94,15.34,74.49,4.81
Pevek,RU,0,1546888234,97,-22.05,69.7,170.27,5.26
Port Lincoln,AU,0,1546888235,100,59.77,-34.72,135.86,7.72
Butaritari,KI,76,1546886787,100,80.78,3.07,172.79,11.97
Saskylakh,RU,8,1546888236,0,-42.12,71.97,114.09,8.16
Rikitea,PF,80,1546886751,99,79.03,-23.12,-134.97,17.78
New Norfolk,AU,75,1546884000,93,55.4,-42.78,147.06,4.7
Albany,US,90,1546883640,37,21.02,42.65,-73.75,5.82
Uspenskaya,RU,92,1546888238,82,30.52,45.78,41.07,10.51
Tasiilaq,GL,76,1546883400,45,23.0,65.61,-37.64,2.24
Goderich,CA,92,1546888203,87,28.49,43.74,-81.71,32.55
Aksarka,RU,32,1546888239,57,-12.15,66.56,67.8,4.81
Rassvet,MD,0,1546887600,79,21.2,47.2,28.43,11.41
Marsa Matruh,EG,40,1546884000,81,51.8,31.35,27.25,4.7
Cape Town,ZA,20,1546884000,72,68.0,-33.93,18.42,20.8
Avera,US,1,1546887180,42,69.8,33.19,-82.53,6.93
Fairbanks,US,20,1546885980,72,-38.93,64.84,-147.72,4.7
Coihaique,CL,90,1546884000,87,48.2,-45.58,-72.07,5.82
Forestville,CA,20,1546884000,55,10.4,48.74,-69.09,6.93
Chuy,UY,92,1546888245,89,78.08,-33.69,-53.46,31.32
Tilichiki,RU,80,1546888246,88,29.98,60.47,166.1,14.54
Cap-aux-Meules,CA,40,1546884000,73,21.2,47.38,-61.86,41.38
Kamenka,RU,56,1546886792,85,6.94,53.19,44.05,5.37
